area,month,day,year,vessel,trip,cell,site,species,length_mm,length_cm,tag,retained,region,name
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,400,40,H8103,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,390,39,H8104,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,430,43,H8105,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,VER,500,50,H8106,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,VER,460,46,H8107,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,LCD,720,72,H8109,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,VER,500,50,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,290,29,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,450,45,H8111,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,VER,440,44,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,400,40,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,430,43,H8113,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8114,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,390,39,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,330,33,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,410,41,H8115,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,430,43,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,420,42,H8116,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,430,43,H8117,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8118,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,340,34,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,410,41,H8119,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8120,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,420,42,H8121,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,480,48,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,450,45,H8122,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,470,47,H8123,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,480,48,H8124,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,420,42,H8125,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8126,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,410,41,H8127,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,350,35,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,410,41,H8128,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,290,29,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,490,49,H8129,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,500,50,H8130,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,430,43,H8131,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8132,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,440,44,H8133,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,460,46,H8134,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,280,28,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,270,27,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLU,340,34,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,400,40,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,430,43,H8136,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM57,MPA,BLA,400,40,H8137,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,BLA,380,38,H8138,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,DEA,300,30,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,BLA,390,39,H8139,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,BLA,430,43,H8140,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,GPR,290,29,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM60,MPA,QBK,390,39,H8141,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,350,35,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,340,34,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,380,38,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,QBK,410,41,H8098,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,400,40,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,400,40,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,370,37,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,QBK,430,43,H8099,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,DEA,180,18,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,DEA,340,34,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,DEA,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CPR,470,47,H8100,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,PSL,440,44,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,QBK,430,43,H8101,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,280,28,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,230,23,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,DEA,230,23,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CHN,380,38,H8102,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,280,28,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,360,36,,No,North,South Cape Mendocino
