area,month,day,year,vessel,trip,cell,site,species,length_mm,length_cm,tag,retained,region,name
LJ,July,13,2022,Outer Limits,LJT03_22,LJ17,MPA,CAL,100,10,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ18,MPA,CAL,100,10,,No,South,South La Jolla
LJ,August,18,2021,Outer Limits,LJT04_21,LJ14,MPA,CAL,100,10,,No,South,South La Jolla
LJ,August,21,2019,Sea Watch,LJT01_19,LJMM,MPA,CAL,100,10,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ04,REF,CAL,100,10,,No,South,South La Jolla
LJ,July,6,2022,Outer Limits,LJT01_22,LJ18,MPA,CAL,110,11,,No,South,South La Jolla
LJ,July,13,2022,Outer Limits,LJT03_22,LJ17,MPA,CAL,110,11,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ18,MPA,CAL,110,11,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ18,MPA,CAL,110,11,,No,South,South La Jolla
LJ,July,28,2021,Outer Limits,LJT03_21,LJ14,MPA,CAL,110,11,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,110,11,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,110,11,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,110,11,,No,South,South La Jolla
LJ,August,18,2021,Outer Limits,LJT04_21,LJ11,MPA,CAL,110,11,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ12,MPA,CAL,110,11,,No,South,South La Jolla
LJ,August,31,2020,Outer Limits,LJT04_20,LJ19,MPA,CAL,110,11,,No,South,South La Jolla
LJ,August,31,2020,Outer Limits,LJT04_20,LJ19,MPA,CAL,110,11,,No,South,South La Jolla
LJ,September,3,2019,Sea Watch,LJT03_19,LJ20,MPA,CAL,110,11,,No,South,South La Jolla
LJ,September,4,2019,Sea Watch,LJT04_19,LJ10,MPA,VER,110,11,,No,South,South La Jolla
LJ,September,6,2021,Outer Limits,LJT06_21,LJ20,MPA,CAL,110,11,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ06,REF,HCR,110,11,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ06,REF,HCR,110,11,,No,South,South La Jolla
LJ,September,4,2019,Sea Watch,LJT04_19,LJ03,REF,HCR,110,11,,No,South,South La Jolla
LJ,July,12,2018,Outer Limits,LJT02_18,LJ19,MPA,HCR,120,12,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ18,MPA,HCR,120,12,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ18,MPA,CAL,120,12,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ18,MPA,CAL,120,12,,No,South,South La Jolla
LJ,July,16,2021,Outer Limits,LJT02_21,LJ12,MPA,CAL,120,12,,No,South,South La Jolla
LJ,July,29,2020,Outer Limits,LJT02_20,LJ12,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,120,12,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,5,2022,Outer Limits,LJT06_22,LJ17,MPA,CAL,120,12,,No,South,South La Jolla
LJ,August,21,2019,Sea Watch,LJT01_19,LJMM,MPA,HCR,120,12,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ12,MPA,HCR,120,12,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ12,MPA,HCR,120,12,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ12,MPA,CAL,120,12,,No,South,South La Jolla
LJ,September,3,2019,Sea Watch,LJT03_19,LJ20,MPA,CAL,120,12,,No,South,South La Jolla
LJ,July,7,2022,Outer Limits,LJT02_22,LJ06,REF,HCR,120,12,,No,South,South La Jolla
LJ,July,13,2022,Outer Limits,LJT03_22,LJ08,REF,CAL,120,12,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ03,REF,CAL,120,12,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ09,REF,CAL,120,12,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ06,REF,CAL,120,12,,No,South,South La Jolla
LJ,July,29,2020,Outer Limits,LJT02_20,LJ04,REF,CAL,120,12,,No,South,South La Jolla
LJ,August,5,2022,Outer Limits,LJT06_22,LJ08,REF,HCR,120,12,,No,South,South La Jolla
LJ,August,18,2021,Outer Limits,LJT04_21,LJ01,REF,HCR,120,12,,No,South,South La Jolla
LJ,August,21,2018,Sea Watch,LJT03_18,LJ06,REF,HCR,120,12,,No,South,South La Jolla
LJ,August,21,2018,Sea Watch,LJT03_18,LJ06,REF,HCR,120,12,,No,South,South La Jolla
LJ,August,21,2019,Sea Watch,LJT01_19,LJ06,REF,CAL,120,12,,No,South,South La Jolla
LJ,August,25,2021,Outer Limits,LJT05_21,LJRR,REF,HCR,120,12,,No,South,South La Jolla
LJ,September,4,2019,Sea Watch,LJT04_19,LJ08,REF,CAL,120,12,,No,South,South La Jolla
LJ,September,6,2021,Outer Limits,LJT06_21,LJ09,REF,CAL,120,12,,No,South,South La Jolla
LJ,July,6,2022,Outer Limits,LJT01_22,LJ10,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,6,2022,Outer Limits,LJT01_22,LJ18,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,12,2018,Outer Limits,LJT02_18,LJ19,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,15,2021,Outer Limits,LJT01_21,LJ13,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,15,2022,Outer Limits,LJT04_22,LJ18,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,16,2021,Outer Limits,LJT02_21,LJ13,MPA,CAL,130,13,,No,South,South La Jolla
LJ,July,17,2017,Outer Limits,LJT01_17,LJ16,MPA,CSC,130,13,,No,South,South La Jolla
LJ,July,17,2017,Outer Limits,LJT01_17,LJ16,MPA,CSC,130,13,,No,South,South La Jolla
LJ,July,29,2020,Outer Limits,LJT02_20,LJ10,MPA,CAL,130,13,,No,South,South La Jolla
LJ,July,29,2020,Outer Limits,LJT02_20,LJ10,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,4,2022,Outer Limits,LJT05_22,LJ20,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,18,2021,Outer Limits,LJT04_21,LJ14,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,21,2019,Sea Watch,LJT01_19,LJMM,MPA,HCR,130,13,,No,South,South La Jolla
LJ,August,22,2019,Sea Watch,LJT02_19,LJ12,MPA,CAL,130,13,,No,South,South La Jolla
LJ,August,31,2020,Outer Limits,LJT04_20,LJ19,MPA,CAL,130,13,,No,South,South La Jolla
LJ,September,4,2019,Sea Watch,LJT04_19,LJ17,MPA,HCR,130,13,,No,South,South La Jolla
LJ,September,6,2021,Outer Limits,LJT06_21,LJ19,MPA,HCR,130,13,,No,South,South La Jolla
LJ,July,6,2022,Outer Limits,LJT01_22,LJ03,REF,CAL,130,13,,No,South,South La Jolla
LJ,July,6,2022,Outer Limits,LJT01_22,LJ03,REF,CAL,130,13,,No,South,South La Jolla
LJ,July,7,2022,Outer Limits,LJT02_22,LJRR,REF,CAL,130,13,,No,South,South La Jolla
LJ,July,7,2022,Outer Limits,LJT02_22,LJRR,REF,HCR,130,13,,No,South,South La Jolla
LJ,July,13,2022,Outer Limits,LJT03_22,LJ01,REF,HCR,130,13,,No,South,South La Jolla
