area,site,year,species,length_mm,length_cm,tag,fish_id,retained,month,day,drift,cell
BL,REF,2019,KLP,340,34,,153446,No,August,2,BLR0802193701,BL37
BL,REF,2019,OLV,290,29,,153447,No,August,2,BLR0802193701,BL37
BL,REF,2019,LCD,600,60,,153448,No,August,2,BLR0802193701,BL37
BL,REF,2019,KLP,310,31,,153449,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153450,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,240,24,,153451,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,270,27,,153452,No,August,2,BLR0802193701,BL37
BL,REF,2019,GPR,300,30,,153453,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,350,35,,153454,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,240,24,,153455,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,220,22,,153456,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,240,24,,153457,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153458,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153459,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153460,No,August,2,BLR0802193701,BL37
BL,REF,2019,GPR,260,26,,153468,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,210,21,,153472,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153479,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153485,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153495,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153500,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153502,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153505,No,August,2,BLR0802193701,BL37
BL,REF,2019,OLV,290,29,,153510,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,270,27,,153514,No,August,2,BLR0802193701,BL37
BL,REF,2019,OLV,290,29,,153516,No,August,2,BLR0802193701,BL37
BL,REF,2019,GPR,300,30,,153518,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153525,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153527,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,320,32,22826O,153530,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153537,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153542,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,310,31,,153551,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153554,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,210,21,,153557,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,250,25,,153560,No,August,2,BLR0802193701,BL37
BL,REF,2019,BLU,230,23,,153575,No,August,2,BLR0802193701,BL37
BL,REF,2019,BWN,360,36,,153589,No,August,2,BLR0802193702,BL37
BL,REF,2019,OLV,280,28,,153590,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,300,30,,153591,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,310,31,,153592,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,220,22,,153593,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,270,27,,153594,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,240,24,,153595,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,270,27,,153596,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,360,36,22827O,153597,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,230,23,,153598,No,August,2,BLR0802193703,BL37
BL,REF,2019,CPR,250,25,,153599,No,August,2,BLR0802193703,BL37
BL,REF,2019,OLV,270,27,,153600,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,230,23,,153601,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,220,22,,153602,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,240,24,,153603,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,250,25,,153604,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,230,23,,153605,No,August,2,BLR0802193703,BL37
BL,REF,2019,OLV,350,35,,153606,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,320,32,,153607,No,August,2,BLR0802193703,BL37
BL,REF,2019,OLV,200,20,,153608,No,August,2,BLR0802193703,BL37
BL,REF,2019,VER,450,45,22828O,153609,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,170,17,,153610,No,August,2,BLR0802193703,BL37
BL,REF,2019,OLV,310,31,,153611,No,August,2,BLR0802193703,BL37
BL,REF,2019,BLU,250,25,,154215,No,August,2,BLR0802194002,BL40
BL,REF,2019,CPR,350,35,,154216,No,August,2,BLR0802194002,BL40
BL,REF,2019,GPR,290,29,,154217,No,August,2,BLR0802194002,BL40
BL,REF,2019,OLV,210,21,,154218,No,August,2,BLR0802194002,BL40
BL,REF,2019,OLV,290,29,,154219,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,310,31,22219O,154220,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,320,32,22218O,154221,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,22217O,154222,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,290,29,,154223,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154224,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,22216O,154225,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,22215O,154226,No,August,2,BLR0802194002,BL40
BL,REF,2019,CPR,360,36,,154227,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154228,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154229,No,August,2,BLR0802194002,BL40
BL,REF,2019,OLV,280,28,,154230,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154231,No,August,2,BLR0802194002,BL40
BL,REF,2019,VER,380,38,,154232,No,August,2,BLR0802194002,BL40
BL,REF,2019,KLP,330,33,,154233,No,August,2,BLR0802194002,BL40
BL,REF,2019,OLV,230,23,,154234,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,340,34,22829O,154235,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,340,34,22830O,154236,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,320,32,,154237,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154238,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154239,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154240,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,350,35,22831O,154241,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,310,31,,154242,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,310,31,,154243,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154244,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,240,24,,154245,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154246,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154247,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154248,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154249,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,350,35,,154250,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154251,No,August,2,BLR0802194002,BL40
BL,REF,2019,KLP,350,35,,154252,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154253,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,290,29,,154254,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,230,23,,154258,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154262,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154266,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,240,24,,154267,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154268,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154269,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,240,24,22214O,154273,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154281,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,240,24,,154283,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154292,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154293,No,August,2,BLR0802194002,BL40
BL,REF,2019,OLV,180,18,,154294,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,260,26,,154301,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,320,32,,154308,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,290,29,,154309,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,350,35,,154311,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,330,33,,154313,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154314,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,360,36,22213O,154315,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154320,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154321,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154324,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154327,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154341,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154342,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,290,29,,154343,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,360,36,,154345,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154359,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154361,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154363,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,240,24,,154364,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,250,25,,154366,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,310,31,,154368,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,340,34,,154371,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,310,31,,154373,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,340,34,,154375,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154376,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,210,21,22832O,154377,Yes,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154379,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,290,29,,154381,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,280,28,,154383,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,270,27,,154385,No,August,2,BLR0802194002,BL40
BL,REF,2019,BLU,300,30,,154388,No,August,2,BLR0802194002,BL40
BL,REF,2019,KLP,330,33,,154390,No,August,2,BLR0802194002,BL40
BL,REF,2019,GPR,280,28,,154404,No,August,2,BLR0802194003,BL40
BL,REF,2019,KLP,330,33,,154405,No,August,2,BLR0802194003,BL40
BL,REF,2019,GPR,210,21,,154406,No,August,2,BLR0802194003,BL40
BL,REF,2019,KLP,330,33,,154407,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,220,22,,154408,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,260,26,,154409,No,August,2,BLR0802194003,BL40
BL,REF,2019,GPR,290,29,,154410,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,250,25,,154411,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,250,25,,154412,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,270,27,,154413,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,250,25,,154414,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,370,37,,154415,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,320,32,,154416,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,230,23,,154417,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,350,35,,154418,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,280,28,,154419,No,August,2,BLR0802194003,BL40
BL,REF,2019,CBZ,480,48,22212O,154420,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,260,26,,154421,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,170,17,,154422,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,290,29,,154423,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,230,23,,155601,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,250,25,,155602,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,240,24,,155603,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,270,27,,155604,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,270,27,,155605,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,240,24,,155606,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,340,34,,155607,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,350,35,,155608,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,330,33,,155609,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,250,25,,155610,No,August,2,BLR0802194003,BL40
BL,REF,2019,KLP,350,35,,155611,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,330,33,,155612,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,310,31,,155613,No,August,2,BLR0802194003,BL40
BL,REF,2019,KLP,300,30,,155614,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,300,30,,155615,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,290,29,,155616,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,410,41,22833O,155617,No,August,2,BLR0802194003,BL40
BL,REF,2019,GPR,300,30,,155618,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,300,30,,155619,No,August,2,BLR0802194003,BL40
BL,REF,2019,OLV,300,30,,155620,No,August,2,BLR0802194003,BL40
BL,REF,2019,KLP,320,32,,155621,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,320,32,,155622,No,August,2,BLR0802194003,BL40
BL,REF,2019,BLU,340,34,,155623,No,August,2,BLR0802194003,BL40
