area,month,day,year,vessel,trip,cell,site,species,length_mm,length_cm,tag,retained,region,name
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,210,21,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,220,22,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLA,330,33,38592,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,280,28,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,170,17,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,220,22,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,270,27,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,160,16,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,170,17,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,220,22,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,350,35,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,LCD,570,57,38593,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLA,330,33,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,270,27,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,210,21,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,280,28,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,220,22,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,CHN,340,34,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,GPR,300,30,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLA,300,30,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,250,25,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,210,21,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLU,210,21,,No,Central,Año Nuevo
AN,July,19,2017,Huli Cat,ANT02_17,AN14,MPA,BLA,270,27,,No,Central,Año Nuevo
